1	arouse	[??ra?z]	вызывать, пробуждать
2	pretty	[?pr?ti]	довольно-таки
3	grand	[gr?nd]	большой, великий
4	volume	[?v?lj?m]	громкость
5	draw (drew, drawn)	[dr??]	тянуть
6	coach	[k???]	автобус, вагон, телега
7	provide	[pr??va?d]	обеспечивать, снабжать
8	provider	[pr??va?d?]	поставщик
9	provision	[pr??v???n]	обеспечение
10	cope with	[k??pw??]	совладать, справиться
11	condition	[k?n?d???n]	состояние
12	land	[l?nd]	приземляться, высаживаться
13	scope	[sk??p]	пределы, район
14	pack	[p?k]	пачка, связка, колода, и т. д.
15	package	[?p?k??]	пакет
16	craft	[kr??ft]	ремесло, мастерство
17	craftsman	[?kr??ftsm?n]	ремесленник
18	crafty	[?kr??fti]	ловкий, хитрый
19	worth	[w???]	стоимость, стоящий
20	worthy	[?w???i]	достойный
21	urban	[???b?n]	городской
22	urbanization	[???b(?)na??ze??(?)n]	урбанизация
23	pond	[p?nd]	пруд
24	familiar	[f??m?li?]	знакомый
25	familiarity	[f??m?l???r?ti]	знакомство
26	unfamiliar	[??nf??m?li?]	незнакомый
27	familiarize	[f??m?li?ra?z]	ознакомиться
28	tap	[t?p]	стучать
29	column	[?k?l?m]	столб, колонна
30	guilt	[g?lt]	вина
31	guilty	[?g?lti]	виновный
32	arm	[??m]	рука
33	forearm	[?f??r??m]	предплечье
34	chamber	[??e?mb?]	кабинет, зал, палата, камера
35	owe	[??]	задолжать
36	include	[?n?klu?d]	включать, содержать в себе
37	inclusion	[?n?klu???n]	включение
38	inclusive	[?n?klu?s?v]	включающий в себя
39	inclusively	[?n?klu?s?vli]	включительно
40	appoint	[??p??nt]	назначать, утверждать
41	appointment	[??p??ntm?nt]	деловое свидание, встреча
42	appointment	[??p??ntm?nt]	назначение на должность
43	celebrate	[?s?l?bre?t]	праздновать
44	celebration	[?s?l??bre???n]	праздник
45	celebratory	[celebratory]	праздничный
46	abuse	[??bju?s]	оскорблять, бранить, брань
47	abusive	[??bju?s?v]	оскорбительный
48	dig (dug, dug)	[d?g]	копать
49	behavior	[b??he?vj?]	поведение
50	cable	[?ke?bl]	канат, кабель, трос и т.д.
51	intelligent	[?n?t?l???nt]	умный
52	intelligence	[?n?t?l???ns]	интеллект
53	admit	[?d?m?t]	признавать, допускать
54	admission	[?d?m??(?)n]	допущение, допуск
55	admittedly	[?d?m?t?dli]	по общему признанию
56	cream	[kri?m]	крем, сливки
57	creamy	[?kri?mi]	сливочный
58	ice cream	[a?skri?m]	мороженое
59	appropriate	[??pr??pr??t]	присвоить
60	appropriation	[??pr??pr??e??(?)n]	присвоение
61	root	[ru?t]	корень
62	compare	[k?m?pe?]	сравнить
63	comparable	[?k?mp?r?bl]	сравнимый
64	incomparable	[?n?k?mp?r?bl]	несравнимый
65	comparative	[k?m?p?r?t?v]	сравнительный
