1;arouse;[əˈraʊz];вызывать, пробуждать
2;pretty;[ˈprɪti];довольно-таки
3;grand;[grænd];большой, великий
4;volume;[ˈvɒljʊm];громкость
5;draw (drew, drawn);[drɔː];тянуть
6;coach;[kəʊʧ];автобус, вагон, телега
7;provide;[prəˈvaɪd];обеспечивать, снабжать
8;provider;[prəˈvaɪdə];поставщик
9;provision;[prəˈvɪʒən];обеспечение
10;cope with;[kəʊpwɪð];совладать, справиться
11;condition;[kənˈdɪʃən];состояние
12;land;[lænd];приземляться, высаживаться
13;scope;[skəʊp];пределы, район
14;pack;[pæk];пачка, связка, колода, и т. д.
15;package;[ˈpækɪʤ];пакет
16;craft;[krɑːft];ремесло, мастерство
17;craftsman;[ˈkrɑːftsmən];ремесленник
18;crafty;[ˈkrɑːfti];ловкий, хитрый
19;worth;[wɜːθ];стоимость, стоящий
20;worthy;[ˈwɜːði];достойный
21;urban;[ˈɜːbən];городской
22;urbanization;[ˌɜːb(ə)naɪˈzeɪʃ(ə)n];урбанизация
23;pond;[pɒnd];пруд
24;familiar;[fəˈmɪliə];знакомый
25;familiarity;[fəˌmɪlɪˈærɪti];знакомство
26;unfamiliar;[ˌʌnfəˈmɪliə];незнакомый
27;familiarize;[fəˈmɪliəraɪz];ознакомиться
28;tap;[tæp];стучать
29;column;[ˈkɒləm];столб, колонна
30;guilt;[gɪlt];вина
31;guilty;[ˈgɪlti];виновный
32;arm;[ɑːm];рука
33;forearm;[ˈfɔːrɑːm];предплечье
34;chamber;[ˈʧeɪmbə];кабинет, зал, палата, камера
35;owe;[əʊ];задолжать
36;include;[ɪnˈkluːd];включать, содержать в себе
37;inclusion;[ɪnˈkluːʒən];включение
38;inclusive;[ɪnˈkluːsɪv];включающий в себя
39;inclusively;[ɪnˈkluːsɪvli];включительно
40;appoint;[əˈpɔɪnt];назначать, утверждать
41;appointment;[əˈpɔɪntmənt];деловое свидание, встреча
42;appointment;[əˈpɔɪntmənt];назначение на должность
43;celebrate;[ˈsɛlɪbreɪt];праздновать
44;celebration;[ˌsɛlɪˈbreɪʃən];праздник
45;celebratory;[celebratory];праздничный
46;abuse;[əˈbjuːs];оскорблять, бранить, брань
47;abusive;[əˈbjuːsɪv];оскорбительный
48;dig (dug, dug);[dɪg];копать
49;behavior;[bɪˈheɪvjə];поведение
